WBAL,Power,HRM
11.000,94.6,125
11.000,91.3,124
11.000,97.2,123
11.000,99.1,123
11.000,101,123
11.000,100.5,124
11.000,100.3,125
11.000,98.6,126
11.000,98.8,126
11.000,98.4,127
11.000,95.7,126
11.000,92.9,126
11.000,93.9,126
11.000,85,125
11.000,80.5,125
11.000,54.7,126
11.000,87.4,127
11.000,88.7,128
11.000,87.3,129
11.000,92.2,129
11.000,101.6,129
11.000,106.3,129
11.000,101.6,129
11.000,96.8,130
11.000,92.4,130
11.000,76.2,131
11.000,72.6,131
11.000,83.8,129
11.000,41.9,127
11.000,21,124
11.000,10.5,124
11.000,12.2,123
11.000,60.6,123
11.000,93.3,124
11.000,89.7,124
11.000,89.8,124
11.000,91.4,124
11.000,109.7,124
11.000,118.9,124
11.000,110.4,123
11.000,100.2,123
11.000,96.1,123
11.000,94.1,123
11.000,89,123
11.000,57.5,123
11.000,41.8,124
11.000,86.9,125
11.000,102.4,127
11.000,60.2,129
11.000,39.1,130
11.000,28.6,131
11.000,98.3,131
11.000,49.1,132
11.000,24.6,134
11.000,12.3,135
11.000,6.1,135
11.000,3.1,132
11.000,1.5,129
11.000,0.8,121
11.000,0.4,115
11.000,0.2,113
11.000,0.1,112
11.000,0,110
11.000,0,113
11.000,0,113
11.000,0,113
11.000,0,112
11.000,0,110
11.000,0,108
11.000,0,109
11.000,0,112
11.000,0,116
11.000,44,119
11.000,73,120
11.000,87.5,120
11.000,88.3,120
11.000,62.1,119
11.000,49.1,118
11.000,42.5,117
11.000,58.3,117
11.000,67.6,117
11.000,72.3,118
11.000,76.2,118
11.000,99.1,117
11.000,85.5,116
11.000,78.8,114
11.000,104.4,111
11.000,84.2,108
11.000,74.1,107
11.000,70,109
11.000,109.5,112
11.000,123.3,113
11.000,121.6,117
11.000,127.3,118
11.000,123.7,117
11.000,136.3,117
11.000,142.7,118
11.000,145.8,119
11.000,132.4,120
11.000,127.7,120
11.000,121.4,120
11.000,119.2,118
11.000,118.1,115
11.000,124.5,113
11.000,124.3,111
11.000,124.1,111
11.000,117.6,112
11.000,116.8,113
11.000,136.4,115
11.000,150.2,115
11.000,157.6,115
11.000,140.3,116
11.000,127.1,116
11.000,123.1,118
11.000,121,118
11.000,129.5,119
11.000,126.3,120
11.000,121.1,120
11.000,120.1,120
11.000,132,119
11.000,128,119
11.000,115,119
11.000,107,120
11.000,109.5,121
11.000,105.8,122
11.000,115.9,121
11.000,119.4,120
11.000,127.2,120
11.000,132.1,120
11.000,135.1,121
11.000,136.5,122
11.000,131.3,123
11.000,128.6,124
11.000,129.3,124
11.000,130.7,125
11.000,120.3,126
11.000,110.7,125
11.000,103.8,125
11.000,101.4,124
11.000,105.2,123
11.000,105.1,122
11.000,112.1,120
11.000,121.5,120
11.000,124.3,119
11.000,131.6,119
11.000,141.8,120
11.000,132.9,121
11.000,124.5,122
11.000,115.7,123
11.000,118.4,124
11.000,120.7,125
11.000,118.3,125
11.000,118.2,125
11.000,118.6,126
11.000,118.3,127
11.000,120.6,128
11.000,122.8,129
11.000,122.9,129
11.000,123,129
11.000,130,129
11.000,135,129
11.000,132.5,130
11.000,124.7,131
11.000,125.4,131
11.000,124.7,131
11.000,114.3,131
11.000,112.7,131
11.000,118.8,130
11.000,121.4,128
11.000,132.2,127
11.000,146.6,127
11.000,145.3,127
11.000,132.2,127
11.000,121.1,128
11.000,119.5,129
11.000,125.3,129
11.000,134.6,130
11.000,128.3,130
11.000,125.2,130
11.000,120.1,129
11.000,119,129
11.000,123,129
11.000,126.5,129
11.000,127.3,129
11.000,127.6,128
11.000,122.8,127
11.000,122.4,126
11.000,126.2,125
11.000,121.1,125
11.000,120.6,125
11.000,120.8,125
11.000,115.4,126
11.000,115.7,126
11.000,116.8,126
11.000,132.4,126
11.000,136.7,125
11.000,129.9,125
11.000,121.4,125
11.000,121.7,126
11.000,125.4,126
11.000,127.2,127
11.000,123.1,128
11.000,123,128
11.000,119.5,128
11.000,108.8,127
11.000,114.9,126
11.000,112.9,126
11.000,112,126
11.000,113,127
11.000,119,127
11.000,137.5,128
11.000,129.2,129
11.000,127.6,130
11.000,122.8,131
11.000,120.4,131
11.000,115.7,131
11.000,117.4,131
11.000,118.7,130
11.000,121.8,130
11.000,127.4,129
11.000,134.2,129
11.000,137.1,129
11.000,130.1,130
11.000,128,131
11.000,124,132
11.000,132,132
11.000,138,132
11.000,128.5,132
11.000,116.8,132
11.000,107.4,132
11.000,102.7,132
11.000,119.3,131
11.000,121.2,131
11.000,122.1,131
11.000,119.5,130
11.000,118.8,130
11.000,118.9,130
11.000,118.9,129
11.000,116.5,130
11.000,118.2,130
11.000,109.6,131
11.000,105.3,131
11.000,64.2,131
11.000,93.1,130
11.000,106,129
11.000,123,129
11.000,162.5,129
11.000,180.3,129
11.000,186.6,130
11.000,160.8,132
11.000,167.9,133
11.000,156,134
11.000,162.5,135
11.000,157.7,134
11.000,153.9,134
11.000,146.4,134
11.000,151.7,134
11.000,153.4,133
11.000,150.2,133
11.000,148.6,132
11.000,157.3,132
11.000,155.1,132
11.000,149.1,132
11.000,144,132
11.000,156,133
11.000,154,133
11.000,146,133
11.000,139,133
11.000,137,133
11.000,136,133
11.000,127.5,132
11.000,137.3,132
11.000,149.1,132
11.000,159.1,131
11.000,164,131
11.000,165.5,131
11.000,156.8,132
11.000,152.4,133
11.000,153.2,134
11.000,163.6,135
11.000,161.3,136
11.000,153.1,136
11.000,154.6,136
11.000,155.3,135
11.000,158.1,135
11.000,158.1,134
11.000,156,134
11.000,151.5,134
11.000,147.8,135
11.000,145.9,135
11.000,149.4,135
11.000,157.7,134
11.000,172.4,134
11.000,158.2,133
11.000,157.1,133
11.000,151,133
11.000,156.5,134
11.000,159.3,135
11.000,159.1,136
11.000,150.6,136
11.000,153.8,136
11.000,159.9,136
11.000,155.4,136
11.000,152.2,136
11.000,152.1,135
11.000,151.1,136
11.000,157,136
11.000,157,137
11.000,157.5,137
11.000,155.8,138
11.000,153.9,138
11.000,155.9,138
11.000,158.5,139
11.000,165.7,140
11.000,160.9,140
11.000,156.4,141
11.000,153.2,140
11.000,156.1,140
11.000,163.6,139
11.000,155.8,139
11.000,149.4,138
11.000,147.2,138
11.000,142.6,137
11.000,141.3,137
11.000,142.6,136
11.000,146.8,136
11.000,155.9,135
11.000,166.5,134
11.000,154.2,134
11.000,144.6,134
11.000,145.3,134
11.000,145.7,133
11.000,146.8,133
11.000,147.9,132
11.000,156,132
11.000,160,132
11.000,167.5,132
11.000,170.7,132
11.000,162.9,132
11.000,154.4,133
11.000,153.2,134
11.000,161.1,135
11.000,165.1,135
11.000,160.5,135
11.000,158.3,135
11.000,150.1,135
11.000,152.6,135
11.000,155.3,135
11.000,154.1,136
11.000,151.6,137
11.000,153.8,138
11.000,158.4,139
11.000,158.2,139
11.000,157.1,139
11.000,155,139
11.000,153,139
11.000,159.5,139
11.000,168.3,140
11.000,159.1,140
11.000,150.1,141
11.000,145,142
11.000,144.5,142
11.000,154.3,142
11.000,159.1,142
11.000,173.1,142
11.000,155,142
11.000,144,142
11.000,138.5,143
11.000,145.3,144
11.000,157.1,145
11.000,149.6,146
11.000,145.8,147
11.000,145.4,147
11.000,157.2,149
11.000,158.6,149
11.000,152.8,150
11.000,145.9,150
11.000,144.4,149
11.000,148.2,149
11.000,152.1,149
11.000,156.6,149
11.000,160.3,149
11.000,157.1,149
11.000,158.1,149
11.000,155.5,149
11.000,154.3,148
11.000,158.1,148
11.000,156.1,147
11.000,152.5,147
11.000,154.3,146
11.000,158.1,145
11.000,152.6,143
11.000,148.3,143
11.000,148.6,143
11.000,145.8,143
11.000,107.4,143
11.000,93.2,143
10.992,153.1,143
10.984,183.1,143
10.984,167,142
10.984,144.5,142
10.984,134.3,140
10.984,146.6,139
10.984,161.3,138
10.984,154.7,138
10.984,151.3,139
10.984,139.2,140
10.984,142.6,140
10.984,152.3,140
10.984,155.6,140
10.984,167.3,140
10.984,161.7,139
10.984,156.3,140
10.984,155.2,140
10.984,148.1,140
10.984,141,140
10.985,140,140
10.985,141.5,139
10.985,152.8,139
10.985,85.4,137
10.985,51.7,137
10.985,110.8,136
10.985,135.9,136
10.985,161.5,136
10.985,174.2,136
10.985,184.6,136
10.985,185.8,136
10.985,186.4,137
10.945,215.7,138
10.945,203.4,139
10.945,194.7,142
10.945,190.3,143
10.945,190.7,145
10.945,195.3,146
10.945,185.2,146
10.945,189.6,146
10.946,189.3,145
10.946,189.1,144
10.946,192.1,142
10.946,181,141
10.946,166,141
10.946,159,142
10.946,158,143
10.946,170,142
10.946,177.5,140
10.946,183.8,139
10.947,188.9,138
10.947,188.4,138
10.947,185.2,139
10.947,183.6,140
10.947,182.3,141
10.947,191.2,142
10.947,191.1,142
